[2024-06-21T07:09:45.763+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-06-21T07:09:45.793+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: alerting_all_dags_using_apis.get_all_dag_ids_last_limit_run_ids scheduled__2024-06-21T06:45:00+00:00 [queued]>
[2024-06-21T07:09:45.805+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: alerting_all_dags_using_apis.get_all_dag_ids_last_limit_run_ids scheduled__2024-06-21T06:45:00+00:00 [queued]>
[2024-06-21T07:09:45.805+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 6
[2024-06-21T07:09:45.830+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): get_all_dag_ids_last_limit_run_ids> on 2024-06-21 06:45:00+00:00
[2024-06-21T07:09:45.835+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=2460) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-06-21T07:09:45.836+0000] {standard_task_runner.py:63} INFO - Started process 2462 to run task
[2024-06-21T07:09:45.836+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'alerting_all_dags_using_apis', 'get_all_dag_ids_last_limit_run_ids', 'scheduled__2024-06-21T06:45:00+00:00', '--job-id', '2868', '--raw', '--subdir', 'DAGS_FOLDER/alerting_all_dags_using_apis.py', '--cfg-path', '/tmp/tmp69kui_bm']
[2024-06-21T07:09:45.838+0000] {standard_task_runner.py:91} INFO - Job 2868: Subtask get_all_dag_ids_last_limit_run_ids
[2024-06-21T07:09:45.900+0000] {task_command.py:426} INFO - Running <TaskInstance: alerting_all_dags_using_apis.get_all_dag_ids_last_limit_run_ids scheduled__2024-06-21T06:45:00+00:00 [running]> on host e66744caf823
[2024-06-21T07:09:46.061+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='alerting_all_dags_using_apis' AIRFLOW_CTX_TASK_ID='get_all_dag_ids_last_limit_run_ids' AIRFLOW_CTX_EXECUTION_DATE='2024-06-21T06:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-06-21T06:45:00+00:00'
[2024-06-21T07:09:46.062+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-06-21T07:09:46.078+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/[/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:46.364+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/'/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:46.702+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:46.932+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/l/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:47.121+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/e/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:47.303+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/r/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:47.503+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/t/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:47.688+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/i/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:47.892+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/n/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:48.083+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/g/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:48.267+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:48.453+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:48.645+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/l/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:48.833+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/l/dagRuns?limit=3&order_by=-start_date
