[2024-06-21T07:09:47.731+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-06-21T07:09:47.754+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: alerting_all_dags_using_apis.get_all_dag_ids_last_limit_run_ids manual__2024-06-21T07:09:44.673933+00:00 [queued]>
[2024-06-21T07:09:47.763+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: alerting_all_dags_using_apis.get_all_dag_ids_last_limit_run_ids manual__2024-06-21T07:09:44.673933+00:00 [queued]>
[2024-06-21T07:09:47.763+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 6
[2024-06-21T07:09:47.777+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): get_all_dag_ids_last_limit_run_ids> on 2024-06-21 07:09:44.673933+00:00
[2024-06-21T07:09:47.781+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=2464) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-06-21T07:09:47.782+0000] {standard_task_runner.py:63} INFO - Started process 2465 to run task
[2024-06-21T07:09:47.783+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'alerting_all_dags_using_apis', 'get_all_dag_ids_last_limit_run_ids', 'manual__2024-06-21T07:09:44.673933+00:00', '--job-id', '2870', '--raw', '--subdir', 'DAGS_FOLDER/alerting_all_dags_using_apis.py', '--cfg-path', '/tmp/tmpv6dhkxn4']
[2024-06-21T07:09:47.784+0000] {standard_task_runner.py:91} INFO - Job 2870: Subtask get_all_dag_ids_last_limit_run_ids
[2024-06-21T07:09:47.824+0000] {task_command.py:426} INFO - Running <TaskInstance: alerting_all_dags_using_apis.get_all_dag_ids_last_limit_run_ids manual__2024-06-21T07:09:44.673933+00:00 [running]> on host e66744caf823
[2024-06-21T07:09:47.927+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='alerting_all_dags_using_apis' AIRFLOW_CTX_TASK_ID='get_all_dag_ids_last_limit_run_ids' AIRFLOW_CTX_EXECUTION_DATE='2024-06-21T07:09:44.673933+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-21T07:09:44.673933+00:00'
[2024-06-21T07:09:47.928+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-06-21T07:09:47.940+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/[/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:48.133+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/'/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:48.319+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:48.539+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/l/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:48.725+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/e/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:48.914+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/r/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:49.097+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/t/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:49.279+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/i/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:49.464+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/n/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:49.639+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/g/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:49.814+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:49.992+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:50.182+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/l/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:50.362+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/l/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:50.537+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
